field,value,source_doi,source_pdf,char_span
sample_type,soil samples,10.1002/2016JG003431,10_1002_2016JG003431.pdf,"[60, 72]"
sample_type,DOM leached from organic-soil horizons,10.1002/2016JG003431,10_1002_2016JG003431.pdf,"[1874, 1912]"
sample_type,Water samples,10.1002/2016JG003431,10_1002_2016JG003431.pdf,"[6203, 6216]"
instrument,O.I. Analytical Model 700,10.1002/2016JG003431,10_1002_2016JG003431.pdf,"[6935, 6960]"
sample_type,DOC concentrations,10.1002/2016JG003431,10_1002_2016JG003431.pdf,"[6574, 6591]"
instrument,Agilent Model 8453 photodiode array spectrophotometer,10.1002/2016JG003431,10_1002_2016JG003431.pdf,"[8247, 8300]"
sample_type,"whole-water samples, HPOA fractions",10.1002/2016JG003431,10_1002_2016JG003431.pdf,"[8135, 8173]"
sample_type,CDOM absorption coef fi cients,10.1002/2016JG003431,10_1002_2016JG003431.pdf,"[8911, 8941]"
instrument,Jobin-Yvon Horiba Fluoromax-3,10.1002/2016JG003431,10_1002_2016JG003431.pdf,"[11466, 11495]"
sample_type,whole-water and HPOA fractions,10.1002/2016JG003431,10_1002_2016JG003431.pdf,"[11407, 11437]"
sample_type,humic like,10.1002/2016JG003431,10_1002_2016JG003431.pdf,"[13048, 13058]"
instrument,4 T FT-ICR,10.1002/2016JG003431,10_1002_2016JG003431.pdf,"[14306, 14316]"
ionization_method,direct infusion electrospray ionization,10.1002/2016JG003431,10_1002_2016JG003431.pdf,"[14588, 14627]"
facility,National High Magnetic Field Laboratory,10.1002/2016JG003431,10_1002_2016JG003431.pdf,"[14397, 14436]"
software_tools,EnviroOrg Software E 2.0,10.1002/2016JG003431,10_1002_2016JG003431.pdf,"[14914, 14938]"
sample_type,soil leachate,10.1002/2016JG003431,10_1002_2016JG003431.pdf,"[18243, 18256]"
sample_type,peatlands,10.1002/2017JG004337,10_1002_2017JG004337.pdf,"[138, 147]"
instrument,Shimadzu TOC-L CPH,10.1002/2017JG004337,10_1002_2017JG004337.pdf,"[1864, 1882]"
sample_type,filtered and acidi fi ed samples,10.1002/2017JG004337,10_1002_2017JG004337.pdf,"[1813, 1843]"
software_tools,"Matlab, drEEM toolbox (Murphy et al., 2013)",10.1002/2017JG004337,10_1002_2017JG004337.pdf,"[2601, 2651]"
instrument,Agilent 6890N GC/5975 MS,10.1002/2017JG004337,10_1002_2017JG004337.pdf,"[5881, 5905]"
instrument,custom-built FT-ICR mass spectrometer,10.1002/2017JG004337,10_1002_2017JG004337.pdf,"[6694, 6731]"
ionization_method,negative electrospray ionization,10.1002/2017JG004337,10_1002_2017JG004337.pdf,"[6623, 6655]"
sample_type,Solid-phase extraction extracts,10.1002/2017JG004337,10_1002_2017JG004337.pdf,"[6550, 6581]"
sample_type,Fluxes,10.1002/2017JG004337,10_1002_2017JG004337.pdf,"[8499, 8505]"
instrument,Shimadzu TOC-VCPH analyzer,10.1002/2017JG004343,10_1002_2017JG004343.pdf,"[5837, 5863]"
instrument,Bruker BioSpin Avance III 400 MHz WB,10.1002/2017JG004343,10_1002_2017JG004343.pdf,"[7955, 7991]"
sample_type,Soil samples,10.1002/2017JG004343,10_1002_2017JG004343.pdf,"[7612, 7624]"
facility,"Changchun Institute of Applied Chemistry, China",10.1002/2017JG004343,10_1002_2017JG004343.pdf,"[8006, 8053]"
software_tools,Mnova NMR software,10.1002/2017JG004343,10_1002_2017JG004343.pdf,"[8469, 8487]"
instrument,9.4 tesla custom-built FT-ICR MS,10.1002/2017JG004343,10_1002_2017JG004343.pdf,"[10272, 10304]"
facility,National High Magnetic Field Laboratory (NHMFL),10.1002/2017JG004343,10_1002_2017JG004343.pdf,"[10312, 10358]"
ionization_method,electrospray ionization (ESI),10.1002/2017JG004343,10_1002_2017JG004343.pdf,"[10456, 10485]"
sample_type,SPE-DOM,10.1002/2017JG004343,10_1002_2017JG004343.pdf,"[10246, 10253]"
instrument,Keck Carbon Cycle Accelerator Mass Spectrometer,10.1002/2017JG004343,10_1002_2017JG004343.pdf,"[12138, 12185]"
sample_type,"pretreated soils, powdered HMW DOM",10.1002/2017JG004343,10_1002_2017JG004343.pdf,"[12079, 12116]"
facility,"University of California, Irvine",10.1002/2017JG004343,10_1002_2017JG004343.pdf,"[12189, 12221]"
sample_type,Sample preparation backgrounds,10.1002/2017JG004343,10_1002_2017JG004343.pdf,"[12395, 12425]"
instrument,custom-built 9.4 T Fourier transform ion cyclotron resonance mass spectrometer,10.1002/aic.15147,10_1002_aic_15147.pdf,"[6337, 6415]"
ionization_method,positive mode electrospray ionization (ESI),10.1002/aic.15147,10_1002_aic_15147.pdf,"[5881, 5937]"
sample_type,dried aqueous phase samples,10.1002/aic.15147,10_1002_aic_15147.pdf,"[5439, 5466]"
ionization_method,negative mode electrospray ionization (ESI),10.1002/aic.15147,10_1002_aic_15147.pdf,"[5894, 5937]"
sample_type,dried biocrude samples,10.1002/aic.15147,10_1002_aic_15147.pdf,"[5999, 6021]"
sample_type,biocrude samples,10.1002/aic.15147,10_1002_aic_15147.pdf,"[8167, 8183]"
sample_type,enzymes,10.1002/anie.202316488,10_1002_anie_202316488.pdf,"[154, 161]"
sample_type,water,10.1002/etc.5742,10_1002_etc_5742.pdf,"[988, 993]"
