SciKG PDF vocabulary v3 - GROUNDED + FILTERED (378 papers)
Derived from the raw vocabulary by OMITTING junk terms. Nothing is
altered: every surviving string still appears verbatim in a source PDF
at its recorded char_span. The raw file remains the evidence record.
Stopword list: vocab_stopwords.csv (extend it as needed).
Junk = stopword match, <2 chars, or numeric/punctuation only.

=== instrument (737 distinct) ===
  x124  FT-ICR MS
  x25  custom-built FT-ICR mass spectrometer
  x23  21 T FT-ICR MS
  x19  custom-built hybrid linear ion trap FT-ICR mass spectrometer
  x14  FTICR MS
  x13  Shimadzu TOC-L CPH
  x12  Orbitrap Fusion Lumos
  x11  21 T FT-ICR mass spectrometer
  x11  FT-ICR-MS
  x10  9.4 T FT-ICR mass spectrometer
  x10  Fourier Transform Ion Cyclotron Resonance Mass Spectrometer
  x8  Horiba Aqualog
  x7  custom-built 9.4 T Fourier transform ion cyclotron resonance mass spectrometer
  x7  custom-built hybrid linear ion trap FT-ICR MS
  x7  FT-ICR mass spectrometer
  x6  9.4 T FT-ICR MS
  x6  custom-built 9.4 T FT-ICR mass spectrometer
  x5  Horiba Scientific Aqualog
  x5  Shimadzu TOC-L
  x5  Shimadzu TOC-LCPH analyzer
  x5  Velos Pro linear ion trap
  x4  21 Tesla Fourier transform ion cyclotron resonance mass spectrometer
  x4  custom-built Fourier transform ion cyclotron resonance mass spectrometer
  x4  Fourier transform ion cyclotron resonance mass spectrometry (FT-ICR MS)
  x4  FT-ICR
  x4  Illumina MiSeq
  x4  LTQ
  x4  Orbitrap
  x4  Thermo-Fisher Ion Max APPI source
  x4  Waters Acquity UPLC M-Class System
  x3  (+) APPI 21 T FT-ICR MS
  x3  21 tesla FT-ICR MS
  x3  21-tesla FT-ICR MS
  x3  Agilent 6890N GC/5975 MS
  x3  custom-built 21 T FT-ICR mass spectrometer
  x3  custom-built FT-ICR MS
  x3  Fourier transform ion cyclotron resonance mass spectrometer
  x3  Fourier Transform Ion Cyclotron Resonance Mass Spectrometry
  x3  FT-ICR Mass Spectrometer
  x3  FT-ICR Mass Spectrometry
  x3  FTICR-MS
  x3  Horiba Scientific Aqualog spectrofluorometer
  x3  LCQ
  x3  Shimadzu GC17A/QP5050A
  x3  Shimadzu TOC-VCPH analyzer
  x3  Velos Pro
  x2  (+) APPI 9.4 T FT-ICR MS
  x2  21 T FT-ICR
  x2  21 T FT-ICR Mass Spectrometer
  x2  21 T FT-ICR MS system
  x2  21 tesla Fourier transform ion cyclotron resonance mass spectrometer
  x2  21 Tesla FT-ICR MS
  x2  21-T FT-ICR MS
  x2  21T FT-ICR
  x2  21T FT-ICR mass spectrometer
  x2  4 T Fourier transform ion cyclotron resonance mass spectrometer
  x2  4 T FT-ICR MS
  x2  4-T FT-ICR mass spectrometer
  x2  7 T Bruker SolariX
  x2  9.4 T FT-ICR-MS
  x2  9.4 tesla custom-built FT-ICR MS
  x2  9.4 tesla Fourier transform ion cyclotron resonance mass spectrometer
  x2  Agilent 8453
  x2  AKTA purifier liquid chromatography system
  x2  APPI FT-ICR MS
  x2  custom-built 21 tesla FT-ICR MS
  x2  custom-built 9.4 T FT-ICR MS
  x2  custom-built Fourier transform ion cyclotron resonance (FT-ICR) mass spectrometer
  x2  custom-built hybrid linear ion trap 21 T FT-ICR MS
