filename,operator_initials,operator_name,date_acquired,sample_organism_strain,sample_state,sample_growth_medium,sample_growth_date,bioreplicate_id,sample_prep_method,fractionation_method,fraction_id,experimental_parameters,run_number
DSB_20190615_EcoliMG1655lysate_GF08_screen_03.raw,DSB,David S. Butcher,2019-06-15,MG1655,lysate,,,,,GELFrEE,GF08,screen,3
DSB_20190615_EcoliMG1655lysate_GF08_screen_02.raw,DSB,David S. Butcher,2019-06-15,MG1655,lysate,,,,,GELFrEE,GF08,screen,2
DSB_20190615_EcoliMG1655lysate_GF08_screen_01.raw,DSB,David S. Butcher,2019-06-15,MG1655,lysate,,,,,GELFrEE,GF08,screen,1
DSB_20190615_EcoliMG1655lysate_GF07_screen_03.raw,DSB,David S. Butcher,2019-06-15,MG1655,lysate,,,,,GELFrEE,GF07,screen,3
DSB_20190615_EcoliMG1655lysate_GF07_screen_02.raw,DSB,David S. Butcher,2019-06-15,MG1655,lysate,,,,,GELFrEE,GF07,screen,2
DSB_20190615_EcoliMG1655lysate_GF07_screen_01.raw,DSB,David S. Butcher,2019-06-15,MG1655,lysate,,,,,GELFrEE,GF07,screen,1
DSB_20190614_EcoliMG1655lysate_GF06_screen_03.raw,DSB,David S. Butcher,2019-06-14,MG1655,lysate,,,,,GELFrEE,GF06,screen,3
DSB_20190614_EcoliMG1655lysate_GF06_screen_02.raw,DSB,David S. Butcher,2019-06-14,MG1655,lysate,,,,,GELFrEE,GF06,screen,2
DSB_20190614_EcoliMG1655lysate_GF06_screen_01.raw,DSB,David S. Butcher,2019-06-14,MG1655,lysate,,,,,GELFrEE,GF06,screen,1
DSB_20190614_EcoliMG1655lysate_GF05_screen_03.raw,DSB,David S. Butcher,2019-06-14,MG1655,lysate,,,,,GELFrEE,GF05,screen,3
DSB_20190614_EcoliMG1655lysate_GF05_screen_02.raw,DSB,David S. Butcher,2019-06-14,MG1655,lysate,,,,,GELFrEE,GF05,screen,2
DSB_20190614_EcoliMG1655lysate_GF05_screen_01.raw,DSB,David S. Butcher,2019-06-14,MG1655,lysate,,,,,GELFrEE,GF05,screen,1
DSB_20190613_EcoliMG1655lysate_GF04_screen_03.raw,DSB,David S. Butcher,2019-06-13,MG1655,lysate,,,,,GELFrEE,GF04,screen,3
DSB_20190613_EcoliMG1655lysate_GF04_screen_02.raw,DSB,David S. Butcher,2019-06-13,MG1655,lysate,,,,,GELFrEE,GF04,screen,2
DSB_20190613_EcoliMG1655lysate_GF04_screen_01.raw,DSB,David S. Butcher,2019-06-13,MG1655,lysate,,,,,GELFrEE,GF04,screen,1
DSB_20190613_EcoliMG1655lysate_GF03_screen_03.raw,DSB,David S. Butcher,2019-06-13,MG1655,lysate,,,,,GELFrEE,GF03,screen,3
DSB_20190613_EcoliMG1655lysate_GF03_screen_02.raw,DSB,David S. Butcher,2019-06-13,MG1655,lysate,,,,,GELFrEE,GF03,screen,2
DSB_20190612_EcoliMG1655lysate_GF03_screen_01.raw,DSB,David S. Butcher,2019-06-12,MG1655,lysate,,,,,GELFrEE,GF03,screen,1
DSB_20190612_EcoliMG1655lysate_GF02_screen_03.raw,DSB,David S. Butcher,2019-06-12,MG1655,lysate,,,,,GELFrEE,GF02,screen,3
DSB_20190612_EcoliMG1655lysate_GF02_screen_02.raw,DSB,David S. Butcher,2019-06-12,MG1655,lysate,,,,,GELFrEE,GF02,screen,2
DSB_20190612_EcoliMG1655lysate_GF02_screen_01.raw,DSB,David S. Butcher,2019-06-12,MG1655,lysate,,,,,GELFrEE,GF02,screen,1
DSB_20190612_EcoliMG1655lysate_GF01_screen_03.raw,DSB,David S. Butcher,2019-06-12,MG1655,lysate,,,,,GELFrEE,GF01,screen,3
DSB_20190612_EcoliMG1655lysate_GF01_screen_02.raw,DSB,David S. Butcher,2019-06-12,MG1655,lysate,,,,,GELFrEE,GF01,screen,2
DSB_20190612_EcoliMG1655lysate_GF01_screen_01.raw,DSB,David S. Butcher,2019-06-12,MG1655,lysate,,,,,GELFrEE,GF01,screen,1
DSB_201900917_M9-J-20190404_PEPPI_F08_02.raw,DSB,David S. Butcher,2019-09-17,,,M9,2019-04-04,J,,PEPPI,F08,,2
DSB_201900915_M9-J-20190404_PEPPI_F09_02.raw,DSB,David S. Butcher,2019-09-15,,,M9,2019-04-04,J,,PEPPI,F09,,2
DSB_201900915_M9-J-20190404_PEPPI_F09_01.raw,DSB,David S. Butcher,2019-09-15,,,M9,2019-04-04,J,,PEPPI,F09,,1
DSB_201900908_M9-J-20190404_PEPPI_F08_01.raw,DSB,David S. Butcher,2019-09-08,,,M9,2019-04-04,J,,PEPPI,F08,,1
DSB_201900908_M9-J-20190404_PEPPI_F07_01_shortgradient.raw,DSB,David S. Butcher,2019-09-08,,,M9,2019-04-04,J,,PEPPI,F07,shortgradient,1
DSB_201900908_M9-J-20190404_PEPPI_F07_01.raw,DSB,David S. Butcher,2019-09-08,,,M9,2019-04-04,J,,PEPPI,F07,,1
DSB_201900907_M9-J-20190404_PEPPI_F06_02.raw,DSB,David S. Butcher,2019-09-07,,,M9,2019-04-04,J,,PEPPI,F06,,2
DSB_201900907_M9-J-20190404_PEPPI_F06_01.raw,DSB,David S. Butcher,2019-09-07,,,M9,2019-04-04,J,,PEPPI,F06,,1
DSB_201900907_M9-J-20190404_PEPPI_F05_02.raw,DSB,David S. Butcher,2019-09-07,,,M9,2019-04-04,J,,PEPPI,F05,,2
DSB_201900907_M9-J-20190404_PEPPI_F05_01.raw,DSB,David S. Butcher,2019-09-07,,,M9,2019-04-04,J,,PEPPI,F05,,1
DSB_201900907_M9-J-20190404_PEPPI_F04_02.raw,DSB,David S. Butcher,2019-09-07,,,M9,2019-04-04,J,,PEPPI,F04,,2
DSB_201900907_M9-J-20190404_PEPPI_F04_01.raw,DSB,David S. Butcher,2019-09-07,,,M9,2019-04-04,J,,PEPPI,F04,,1
DSB_201900906_M9-J-20190404_PEPPI_F03_02.raw,DSB,David S. Butcher,2019-09-06,,,M9,2019-04-04,J,,PEPPI,F03,,2
DSB_201900906_M9-J-20190404_PEPPI_F03_01.raw,DSB,David S. Butcher,2019-09-06,,,M9,2019-04-04,J,,PEPPI,F03,,1
DSB_201900906_M9-J-20190404_PEPPI_F02_02.raw,DSB,David S. Butcher,2019-09-06,,,M9,2019-04-04,J,,PEPPI,F02,,2
DSB_201900906_M9-J-20190404_PEPPI_F02_01.raw,DSB,David S. Butcher,2019-09-06,,,M9,2019-04-04,J,,PEPPI,F02,,1
DSB_201900906_M9-J-20190404_PEPPI_F01_02.raw,DSB,David S. Butcher,2019-09-06,,,M9,2019-04-04,J,,PEPPI,F01,,2
DSB_201900906_M9-J-20190404_PEPPI_F01_01.raw,DSB,David S. Butcher,2019-09-06,,,M9,2019-04-04,J,,PEPPI,F01,,1
20200531_DSB_MG1655_WCL_M9-J-20190404_below30kDa_normMS1_typicalparams_04.raw,DSB,David S. Butcher,2020-05-31,MG1655,lysate,M9,2019-04-04,J,,below30kDa,,normMS1_typicalparams,4
20200531_DSB_MG1655_WCL_M9-J-20190404_below30kDa_normMS1_typicalparams_03.raw,DSB,David S. Butcher,2020-05-31,MG1655,lysate,M9,2019-04-04,J,,below30kDa,,normMS1_typicalparams,3
20200531_DSB_MG1655_WCL_M9-J-20190404_below30kDa_normMS1_typicalparams_02.raw,DSB,David S. Butcher,2020-05-31,MG1655,lysate,M9,2019-04-04,J,,below30kDa,,normMS1_typicalparams,2
20200531_DSB_MG1655_WCL_M9-J-20190404_below30kDa_normMS1_typicalparams_01.raw,DSB,David S. Butcher,2020-05-31,MG1655,lysate,M9,2019-04-04,J,,below30kDa,,normMS1_typicalparams,1
